name;sex;count
Aastha;F;89
Aathan;M;5
Aatish;M;5
Aava;F;84
Aavah;F;53
Aavan;M;13
Aavash;M;10
Aaven;M;35
Aavi;M;17
Aavin;M;30
Aavion;M;21
Aavir;M;19
Aavish;M;11
Aavya;F;274
Aavyan;M;16
Aavyn;F;5
Aavyn;M;6
Aaya;F;12
Aayaan;M;42
Aayah;F;20
Aayam;M;27
Aayan;M;1251
Aayana;F;46
Aayanah;F;5
Aayanna;F;5
Aayansh;M;210
Aayat;F;163
Aaydan;M;11
Aayden;F;5
Aayden;M;1353
Aayla;F;355
Aaylah;F;87
Aayliah;F;50
Aayon;M;5
Aayra;F;74
Aayu;M;6
Aayush;M;689
Aayusha;F;11
Aayushi;F;127
Aazan;M;5
Aazeen;F;12
Aazil;M;6
Aazim;M;29
Aaziyah;F;19
Ab;M;34
Aba;F;5
Abaan;M;46
Abaas;M;6
Abad;M;27
Abagael;F;26
Abagail;F;1626
Abagale;F;84
Abagayle;F;68
Abaigael;F;6
Abaigail;F;5
Abaigeal;F;79
Aban;M;31
Abanoub;M;71
Abas;M;49
Abass;M;46
Abayomi;M;12
Abba;M;34
Abbagail;F;267
Abbagale;F;46
Abbagayle;F;34
Abbas;M;652
Abbe;F;23
Abbee;F;28
Abbegail;F;33
Abbegale;F;12
Abbegayle;F;5
Abbey;F;1987
Abbeygail;F;30
Abbi;F;346
Abbie;F;2501
Abbiegail;F;95
Abbiegale;F;24
Abbiegayle;F;18
Abbigael;F;33
Abbigail;F;3803
Abbigaile;F;27
Abbigal;F;60
Abbigale;F;649
Abbigayle;F;352
Abbilyn;F;12
Abbot;M;22
Abbott;F;19
Abbott;M;446
Abbriella;F;31
Abbrielle;F;17
Abby;F;9075
Abby;M;5
Abbye;F;6
Abbygael;F;32
Abbygail;F;1584
Abbygaile;F;29
Abbygale;F;299
Abbygayle;F;125
Abbylynn;F;18
Abcde;F;164
Abdalla;M;130
Abdallah;M;527
Abdalrahman;M;106
Abdalrhman;M;5
Abdel;M;221
Abdelaziz;M;45
Abdelhamid;M;5
Abdelkader;M;5
Abdelkarim;M;17
Abdellah;M;14
Abdelrahman;M;210
Abdelrhman;M;6
Abderrahman;M;5
Abdi;M;140
Abdia;F;5
Abdias;M;335
Abdiaziz;M;119
Abdiel;M;2945
Abdifatah;M;151
Abdihafid;M;21
Abdihakim;M;38
Abdihamid;M;5
Abdikadir;M;97
Abdikarim;M;18
Abdikhaliq;M;5
Abdilahi;M;10
Abdimalik;M;154
Abdinajib;M;5
Abdinasir;M;97
Abdiqani;M;21
Abdirahim;M;66
Abdirahin;M;6
Abdirahman;M;1127
Abdirashid;M;26
Abdirisaq;M;12
Abdirizak;M;53
Abdirizaq;M;5
Abdisalan;M;5
Abdisamad;M;23
Abdishakur;M;55
