name;sex;count
Ivy;F;1021
Emerson;F;1017
Phoebe;F;1016
Selena;F;1016
Luna;F;1014
Cassandra;F;1013
Anastasia;F;1011
Lindsey;F;1007
Savanna;F;1005
Madeleine;F;1000
Kailey;F;998
Analia;F;996
Kaelyn;F;996
Angie;F;994
Janiyah;F;994
Georgia;F;982
Joselyn;F;980
Madalyn;F;975
Emery;F;974
Monica;F;972
Rylie;F;970
Bethany;F;963
Kiera;F;961
Norah;F;959
Brynn;F;949
Isla;F;945
Dulce;F;943
Erica;F;943
Jaelyn;F;941
Julissa;F;936
Rose;F;936
Kaylie;F;928
Adeline;F;922
Julie;F;919
Ruth;F;914
April;F;913
Audrina;F;907
Cameron;F;907
Madisyn;F;899
Tatiana;F;895
Kiley;F;894
Cynthia;F;893
Anya;F;889
Ciara;F;888
Rebekah;F;888
Hadley;F;887
Lilah;F;884
Talia;F;880
Michaela;F;875
Londyn;F;870
Lia;F;868
Nayeli;F;865
Kaylin;F;864
Lilliana;F;864
Madelynn;F;862
Adalyn;F;861
Erika;F;861
Raegan;F;861
Baylee;F;860
Danica;F;860
Annie;F;857
Holly;F;857
Paola;F;853
Lizbeth;F;835
Jazlyn;F;833
Janiya;F;832
Jane;F;831
Carolina;F;828
Helen;F;826
Rihanna;F;825
Danna;F;816
Serena;F;813
Jimena;F;805
Nyla;F;801
Shayla;F;801
Tatum;F;795
Ayla;F;793
Sage;F;791
Marlee;F;790
Emilia;F;789
Itzel;F;789
Sarai;F;786
Kadence;F;784
Natasha;F;783
Madyson;F;781
Janelle;F;780
Brenda;F;779
Lyric;F;779
Adelyn;F;778
Kimora;F;778
Paris;F;776
Imani;F;774
Ainsley;F;771
Priscilla;F;771
Macie;F;770
Estrella;F;768
Amiyah;F;767
Annika;F;767
Lena;F;767
Harley;F;762
Nataly;F;761
Dayana;F;759
Skyler;F;758
Hayley;F;756
Bridget;F;753
Brylee;F;751
Lillie;F;751
Melany;F;745
Athena;F;742
Evangeline;F;742
Kinsley;F;742
Noelle;F;742
Lacey;F;739
Viviana;F;735
Addisyn;F;732
Cali;F;730
Lilian;F;728
Aubrie;F;725
Emilee;F;720
Juliette;F;718
Hanna;F;717
Desiree;F;715
Kayden;F;715
Elle;F;709
Brenna;F;707
Lana;F;707
Kassidy;F;706
Kailyn;F;705
Arabella;F;704
Kenzie;F;700
Denise;F;692
Jadyn;F;691
Alissa;F;689
Kinley;F;688
Aileen;F;684
Logan;F;684
Melina;F;681
Miracle;F;677
Abbigail;F;675
Celeste;F;675
Annabella;F;674
Anahi;F;670
Brittany;F;670
Mila;F;667
Elaina;F;666
Francesca;F;666
Nancy;F;665
Lauryn;F;664
Cara;F;663
Kennedi;F;663
Danika;F;659
Alessandra;F;657
Anaya;F;657
Marisol;F;656
Alanna;F;654
Asia;F;653
Johanna;F;652
Daphne;F;649
Amira;F;645
Yasmin;F;644
Alyson;F;642
Claudia;F;642
Yaretzi;F;642
Nia;F;636
Meredith;F;635
Braelyn;F;634
Amari;F;632
Jaylynn;F;631
Quinn;F;630
Nathalie;F;629
Jaliyah;F;627
Rosa;F;624
Isabela;F;623
Skye;F;623
Meghan;F;621
Gloria;F;616
Rowan;F;616
Diamond;F;615
Journey;F;612
Lexie;F;607
Zariah;F;604
Kali;F;602
Mikaela;F;601
Parker;F;600
Wendy;F;599
Lesly;F;598
Saniyah;F;596
Whitney;F;595
Aria;F;594
Samara;F;594
Kristina;F;591
Yareli;F;591
Hailee;F;590
Kaylynn;F;590
Aylin;F;589
Kamila;F;588
Elliana;F;587
Joy;F;586
Sandra;F;585
Liberty;F;584
Amya;F;583
Aleah;F;582
Lilyana;F;582
Jaida;F;580
Perla;F;580
Finley;F;576
Natalee;F;576
Lindsay;F;575
Dana;F;574
Sidney;F;571
Casey;F;570
Vivienne;F;569
Cindy;F;567
Kristen;F;566
Patricia;F;565
Anika;F;564
Hallie;F;562
Laney;F;561
Skyla;F;560
Myla;F;559
Jaden;F;558
Kiana;F;558
Anne;F;557
Jaelynn;F;556
Janessa;F;556
Madalynn;F;556
Saniya;F;556
Sherlyn;F;556
Sylvia;F;555
Elisabeth;F;554
Heather;F;553
Camilla;F;552
Jayleen;F;552
Linda;F;551
Tori;F;551
Justice;F;550
Madilynn;F;550
Halle;F;549
Arielle;F;548
Dylan;F;546
America;F;543
Anabelle;F;543
Kathleen;F;542
Shannon;F;542
Gemma;F;541
Jaiden;F;541
Bailee;F;539
Haven;F;538
Lucille;F;536
Marie;F;536
Adelaide;F;535
Ada;F;534
Gracelyn;F;533
Helena;F;533
Aryanna;F;532
Kassandra;F;532
Kaitlin;F;531
Taryn;F;529
Brisa;F;527
Ryan;F;527
Amani;F;523
Gwendolyn;F;522
Eve;F;521
Aleena;F;520
Marilyn;F;520
Liana;F;519
Amara;F;516
Haleigh;F;514
Olive;F;512
Maia;F;511
Aspen;F;510
Kaia;F;509
Maeve;F;508
Maleah;F;508
Myah;F;508
Shiloh;F;508
Gia;F;507
Lorelei;F;504
Kaliyah;F;503
Tiana;F;503
Yesenia;F;502
Catalina;F;501
Giana;F;501
Zoie;F;500
Cheyanne;F;499
Clarissa;F;499
Deanna;F;498
Scarlet;F;497
Aiyana;F;495
Isis;F;494
Marina;F;494
Alisson;F;493
Bryanna;F;493
Jaylee;F;491
Rachael;F;491
Virginia;F;491
Charlie;F;490
Christine;F;489
Jaylin;F;489
Simone;F;489
Allisson;F;487
Briley;F;485
Amiya;F;484
Destinee;F;484
Jaycee;F;483
Ashlee;F;482
Siena;F;481
Irene;F;480
Abril;F;478
Kaleigh;F;478
Kenya;F;478
Julianne;F;477
Raven;F;476
Elisa;F;471
Adrienne;F;470
Paulina;F;470
Ayanna;F;469
Kaitlynn;F;469
Carlee;F;464
Jaidyn;F;464
Raquel;F;464
Sariah;F;464
Arely;F;461
Tabitha;F;461
Barbara;F;459
Haylie;F;457
Annalise;F;456
Mercedes;F;456
Nylah;F;456
Kailee;F;454
Kirsten;F;454
Krystal;F;454
Elyse;F;453
Teresa;F;453
Taliyah;F;452
Aliya;F;451
Jaylene;F;451
Maci;F;450
Ansley;F;449
Kenley;F;447
